"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2023","34.898","32.895","36.000","30.170","77.99K","-0.31%"
"06/16/2023","35.008","39.000","39.300","32.500","90.21K","-14.92%"
"06/15/2023","41.145","38.065","49.950","36.900","130.98K","7.39%"
"06/14/2023","38.312","35.000","40.285","33.010","116.74K","6.27%"
"06/13/2023","36.051","30.400","36.675","28.100","135.35K","16.16%"
"06/12/2023","31.036","33.000","33.275","29.075","79.69K","-3.16%"
"06/09/2023","32.049","26.600","33.475","26.600","104.19K","18.94%"
"06/08/2023","26.945","26.530","29.700","25.575","73.32K","2.33%"
"06/07/2023","26.331","25.100","27.255","24.050","73.07K","5.92%"
"06/06/2023","24.860","28.600","30.570","24.750","85.25K","-12.70%"
"06/05/2023","28.478","23.950","29.365","23.950","87.29K","20.22%"
"06/02/2023","23.689","22.890","24.120","22.855","46.89K","2.54%"
"06/01/2023","23.103","25.750","25.805","22.935","66.81K","-13.96%"
"05/31/2023","26.852","25.500","28.740","24.565","83.48K","8.80%"
"05/30/2023","24.681","24.350","25.500","23.500","24.97K","0.48%"
"05/29/2023","24.562","25.255","26.015","24.295","8.02K","0.17%"
"05/26/2023","24.520","24.275","25.800","23.700","72.79K","-3.66%"
"05/25/2023","25.452","27.975","28.500","24.940","53.89K","-8.40%"
"05/24/2023","27.785","29.650","29.850","27.350","49.26K","-4.61%"
"05/23/2023","29.127","29.090","30.010","28.775","51.50K","-1.97%"
"05/22/2023","29.711","29.500","30.500","28.795","53.20K","-1.54%"
"05/19/2023","30.176","29.880","30.800","29.800","35.32K","1.31%"
"05/18/2023","29.785","31.750","31.750","29.690","46.88K","-6.78%"
"05/17/2023","31.953","32.000","33.050","31.555","48.15K","0.41%"
"05/16/2023","31.821","32.500","33.200","31.505","49.99K","-1.53%"
"05/15/2023","32.314","33.200","33.795","31.650","49.89K","-1.38%"
"05/12/2023","32.767","34.995","35.055","32.180","53.92K","-6.36%"
"05/11/2023","34.993","34.760","35.250","34.350","38.94K","0.00%"
"05/10/2023","34.993","36.000","36.200","34.500","43.49K","-2.66%"
"05/09/2023","35.950","37.475","37.475","35.730","50.66K","-2.51%"
"05/08/2023","36.874","35.705","37.500","35.425","12.33K","0.82%"
"05/05/2023","36.574","35.695","36.835","35.125","52.98K","2.58%"
"05/04/2023","35.653","37.000","37.200","35.420","39.25K","-3.07%"
"05/03/2023","36.782","37.150","37.750","36.350","37.58K","-1.99%"
"05/02/2023","37.529","39.000","39.400","37.250","47.03K","-3.36%"
"05/01/2023","38.834","38.000","39.825","38.000","12.03K","0.77%"
"04/28/2023","38.538","39.025","40.460","38.260","54.08K","-1.28%"
"04/27/2023","39.039","38.500","39.300","38.050","27.95K","1.27%"
"04/26/2023","38.551","39.800","39.960","37.845","57.91K","-3.22%"
"04/25/2023","39.833","39.600","40.210","39.200","51.69K","-0.23%"
"04/24/2023","39.925","40.460","40.460","39.100","55.01K","-0.60%"
"04/21/2023","40.164","40.460","41.305","39.785","49.61K","-0.99%"
"04/20/2023","40.565","39.995","41.200","39.500","45.62K","0.66%"
"04/19/2023","40.298","42.550","43.200","39.685","52.63K","-5.67%"
"04/18/2023","42.722","41.500","43.350","41.155","48.10K","3.88%"
"04/17/2023","41.127","41.500","42.505","41.000","44.70K","-0.05%"
"04/14/2023","41.149","42.460","42.460","40.680","38.29K","-2.24%"
"04/13/2023","42.093","42.505","43.600","41.630","47.23K","-1.84%"
"04/12/2023","42.880","44.145","44.250","42.555","46.18K","-1.86%"
"04/11/2023","43.692","42.000","45.000","40.755","54.12K","1.31%"
"04/10/2023","43.125","43.125","43.125","43.125","","0.00%"
"04/06/2023","43.125","45.000","45.810","42.850","58.44K","-3.25%"
"04/05/2023","44.575","45.105","47.895","44.300","74.90K","-4.28%"
"04/04/2023","46.568","50.750","51.500","45.225","69.19K","-9.34%"
"04/03/2023","51.367","47.000","51.990","46.780","57.54K","7.37%"
"03/31/2023","47.843","43.005","48.370","42.750","53.23K","9.71%"
